"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_chen_hand_of_god"						"Hand of God (Modified)"
		"DOTA_Tooltip_ability_chen_hand_of_god_Description"			"Heals all allied heroes on the map as well as all units under Chen's control.\n\n<font color='#70EA72'>In Overthrow, this ability has reduced cooldown</font>"
		
		"npc_dota_hero_treant"											"Treant Protector (Modified)"
		"DOTA_Tooltip_ability_treant_natures_guise"						"Nature's Guise (Modified)"
		"DOTA_Tooltip_ability_treant_natures_guise_Description"			"Provides Treant with Tree Walking whenever he hasn't taken damage for %cooldown_time% seconds. While active, Treant gains movement speed bonus and amplified healing and regeneration on himself.\n\n<font color='#70EA72'>In Overthrow, this ability has reduced cooldown</font>"
		
		"DOTA_Tooltip_ability_treant_living_armor"						"Living Armor (Modified)"
		"DOTA_Tooltip_ability_treant_living_armor_Description"			"Infuses the target hero or structure with a protective coating which heals the target and provides bonus armor.\n\n<font color='#70EA72'>In Overthrow, this ability has doubled stats</font>"
	
	
		"DOTA_Tooltip_Ability_treant_generating_tree"					"Life Seed"
		"DOTA_Tooltip_treant_generating_tree_charges"					"Life Seed"
		
		"DOTA_Tooltip_Ability_treant_generating_tree_Description"		"<font color='#70EA72'>Place tree at a traget point.<br><br>If ability in auto-cast and Treant Protector has maximum charges of Life Seed, he will place tree in random place near him</font>"
		
		"DOTA_Tooltip_Ability_treant_generating_tree_max_charges"		"MAX CHARGES:"
		"DOTA_Tooltip_Ability_treant_generating_tree_charge_cooldown"	"CHARGE COOLDOWN:"
		"DOTA_Tooltip_Ability_treant_generating_tree_tree_duration"		"TREE LIFE TIME:"
		
		"npc_dummy_capture"	"Just Capture Point"
		
		"DOTA_Tooltip_Ability_item_ambient_sorcery"								"Ambient Sorcery"
		"DOTA_Tooltip_Ability_item_ambient_sorcery_Description"					"<h1>Passive: Ambient Sorcery</h1>Reduces nearby units' magic resistance by %aura_magic_reduction%%."
		"DOTA_Tooltip_ability_item_ambient_sorcery_Lore"						"A glowing orb stolen from an arcanist's tower."
		"DOTA_Tooltip_Ability_item_ambient_sorcery_bonus_intelligence"			"+$int"
		"DOTA_Tooltip_modifier_item_ambient_sorcery_effect"						"Ambient Sorcery"
		"DOTA_Tooltip_modifier_item_ambient_sorcery_effect_Description"			"This unit is more vulnerable to magic damage."

		"DOTA_Tooltip_Ability_item_bear_cloak"								"Cloak of the Bear"
		"DOTA_Tooltip_Ability_item_bear_cloak_Description"					"<h1>Aura: Rough Bearskin</h1>Provides %aura_bonus_magic_resist%%  bonus magic resistance to nearby allies."
		"DOTA_Tooltip_ability_item_bear_cloak_Lore"							"There's no shortage of natural armor in the wild."
		"DOTA_Tooltip_Ability_item_bear_cloak_bonus_magic_resist"			"SELF BONUS MAGIC RESIST:"

		"DOTA_Tooltip_modifier_item_bear_cloak_effect"						"Rough Bearskin"
		"DOTA_Tooltip_modifier_item_bear_cloak_effect_Description"			"This unit has bonus magic resistance."

		"DOTA_Tooltip_ability_item_bogduggs_cudgel"							"Bogdugg's Cudgel"
		"DOTA_Tooltip_ability_item_bogduggs_cudgel_Description"				"<h1>Passive: Smash</h1>MELEE ONLY - All attack speed is halved, but attacks deal splash damage in a %damage_radius% area around the target and stun for %stun_duration% second.\n"
		"DOTA_Tooltip_ability_item_bogduggs_cudgel_Lore"					"Bogdugg came to lord over Bonemeal Ridge by carrying the biggest stick."
		"DOTA_Tooltip_ability_item_bogduggs_cudgel_bonus_strength"			"BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_bogduggs_cudgel_bonus_damage"			"BONUS DAMAGE:"

		"DOTA_Tooltip_ability_item_bogduggs_baldric"						"Bogdugg's Baldric"
		"DOTA_Tooltip_ability_item_bogduggs_baldric_Description"			""
		"DOTA_Tooltip_ability_item_bogduggs_baldric_Lore"					"Running's not as fun as hitting.  Not one bit."
		"DOTA_Tooltip_ability_item_bogduggs_baldric_bonus_armor"			"BONUS ARMOR:"
		"DOTA_Tooltip_ability_item_bogduggs_baldric_disable_resist_pct"		"%STUN DURATION REDUCTION:"
		"DOTA_Tooltip_ability_item_bogduggs_baldric_move_speed_penalty"		"MOVE SPEED REDUCTION:"

		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur"						"Bogdugg's Lucky Femur"
		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur_Description"			"<h1>Passive: Skillshot</h1>After an ability is cast, it has a %refresh_pct%%% chance to be immediately refreshed, and Lucky Femur is placed on cooldown for the duration of cooldown of the refreshed ability.\n"
		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur_Lore"					"And another!"
		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur_max_mana_penalty"		"MAX MANA REDUCTION:"
		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur_intelligence_penalty"	"INTELLIGENCE REDUCTION:"
		"DOTA_Tooltip_ability_item_bogduggs_lucky_femur_mana_regen_sec"			"BONUS MANA REGEN:"

		"DOTA_Tooltip_ability_item_carapace_of_qaldin"						"Carapace of Qaldin"
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_Description"			"<h1>Passive: Acidic Regeneration</h1>All mana and health gained are doubled, and a percentage of all damage taken is reflected back upon the attacker.\n"
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_Lore"					"Let them attack you, for each blow comes at a blood price."
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_bonus_hp"				"BONUS HP:"
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_bonus_mana"			"BONUS MANA:"
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_bonus_restore_pct"	"%BONUS RESTORE:"
		"DOTA_Tooltip_ability_item_carapace_of_qaldin_damage_return_pct"	"%DAMAGE RETURNED:"

		"DOTA_Tooltip_Ability_item_dredged_trident"								"Siltbreaker's Dredged Trident"
		"DOTA_Tooltip_Ability_item_dredged_trident_Description"					"<h1>Passive: Critical Strike</h1>Grants each attack a %crit_chance%%  chance to deal %crit_multiplier%%% additional damage."
		"DOTA_Tooltip_ability_item_dredged_trident_Lore"						"Hauled from the deep long ago, Siltbreaker made this destructive weapon his own."
		"DOTA_Tooltip_Ability_item_dredged_trident_bonus_damage"				"+$damage"
		//"DOTA_Tooltip_Ability_item_dredged_trident_crit_chance"					"CRIT CHANCE:"
		//"DOTA_Tooltip_Ability_item_dredged_trident_crit_multiplier"				"CRIT MULTIPLIER:"

		"DOTA_Tooltip_Ability_item_glimmerdark_shield"							"Glimmerdark Shield"
		"DOTA_Tooltip_Ability_item_glimmerdark_shield_Lore"							"This shield's first bearer thought he had gained immortality in battle. Until the second bearer's magic began to flow."
		"DOTA_Tooltip_Ability_item_glimmerdark_shield_Description"				"<h1>Active: Gleam</h1> Gain immunity to physical damage, but receive +%tooltip_prism_bonus_magic_dmg%%  magic damage. Lasts %prism_duration% seconds."
		"DOTA_Tooltip_Ability_item_glimmerdark_shield_bonus_strength"			"+$str"
		"DOTA_Tooltip_Ability_item_glimmerdark_shield_bonus_agility"			"+$agi"
		"DOTA_Tooltip_Ability_item_glimmerdark_shield_bonus_intellect"			"+$int"
		"DOTA_Tooltip_Ability_item_glimmerdark_shield_bonus_armor"				"BONUS ARMOR:"
		"DOTA_Tooltip_Ability_item_glimmerdark_shield_bonus_health_regen"		"BONUS HEALTH REGEN:"

		"DOTA_Tooltip_modifier_item_glimmerdark_shield_prism"					"Gleam"
		"DOTA_Tooltip_modifier_item_glimmerdark_shield_prism_Description"		"This unit is immune to physical damage but receives greatly increased magic damage."

		"DOTA_Tooltip_ability_item_gravel_foot"								"Gravel Foot"
		"DOTA_Tooltip_ability_item_gravel_foot_Description"					""
		"DOTA_Tooltip_ability_item_gravel_foot_Lore"						"Find sure footing on any terrain."
		"DOTA_Tooltip_ability_item_gravel_foot_bonus_movement_speed"		"BONUS MOVEMENT SPEED:"
		"DOTA_Tooltip_ability_item_gravel_foot_bonus_all_stats"				"BONUS ALL STATS:"
		"DOTA_Tooltip_ability_item_gravel_foot_bonus_hp_regen"				"BONUS HP REGEN:"
		"DOTA_Tooltip_ability_item_gravel_foot_damage_block"				"DAMAGE BLOCK:"

		"DOTA_Tooltip_ability_item_guardian_shell"							"Guardian Shell"
		"DOTA_Tooltip_ability_item_guardian_shell_Description"				"<h1>Passive: Unwavering</h1>Movement Speed cannot be slowed and wearer cannot be rooted."
		"DOTA_Tooltip_ability_item_guardian_shell_Lore"						"Push ever onward, unburdened by mortal cares."
		"DOTA_Tooltip_ability_item_guardian_shell_bonus_armor"				"BONUS ARMOR:"
		"DOTA_Tooltip_ability_item_guardian_shell_magic_resistance"			"%BONUS MAGIC RESISTANCE:"

		"DOTA_Tooltip_ability_item_ice_dragon_maw"							"Ice Dragon Maw"
		"DOTA_Tooltip_ability_item_ice_dragon_maw_Description"				"<h1>Passive: Chilling Bite</h1>Your attacks have a %chance_to_freeze%%% chance to freeze the target for %freeze_duration% seconds.\n"
		"DOTA_Tooltip_ability_item_ice_dragon_maw_Lore"						"Here's frost in your eye!"
		"DOTA_Tooltip_ability_item_ice_dragon_maw_bonus_attack_range"		"BONUS ATTACK RANGE(RANGED ONLY):"
		"DOTA_Tooltip_ability_item_ice_dragon_maw_bonus_damage"				"BONUS DAMAGE:"

		"DOTA_Tooltip_Ability_item_lifestone"								"Lifestone"
		"DOTA_Tooltip_Ability_item_lifestone_Description"					"<h1>Active: Health Pact</h1>Converts %pact_hp_cost% health into %pact_mana_gained% mana every 0.5 seconds."
		"DOTA_Tooltip_ability_item_lifestone_Lore"							"The stone thirsts for blood."
		"DOTA_Tooltip_Ability_item_lifestone_hp_regen"						"HP REGEN:"

		"DOTA_Tooltip_modifier_item_lifestone_pact"							"Health Pact"
		"DOTA_Tooltip_modifier_item_lifestone_pact_Description"				"This unit is converting health into mana."

		"DOTA_Tooltip_ability_item_longclaws_amulet"						"Longclaw's Amulet"
		"DOTA_Tooltip_ability_item_longclaws_amulet_Description"			""
		"DOTA_Tooltip_ability_item_longclaws_amulet_Lore"					"Magic is somewhat uncommon in the Weald, its secrets closely guarded."
		"DOTA_Tooltip_ability_item_longclaws_amulet_spell_lifesteal_pct"	"%SPELL LIFESTEAL:"
		"DOTA_Tooltip_ability_item_longclaws_amulet_cooldown_reduction_pct"	"%COOLDOWN REDUCTION:"
		"DOTA_Tooltip_ability_item_longclaws_amulet_mana_cost_reduction_pct" "%MANA COST REDUCTION:"

		"DOTA_Tooltip_ability_item_oblivions_locket"						"Oblivion's Locket"
		"DOTA_Tooltip_ability_item_oblivions_locket_Description"			"<h1>Active: Spook</h1>CHANNELLED - Become ethereal, immune to physical but taking %extra_spell_damage_percent%%% extra magic damage for up to 1 second.\n"
		"DOTA_Tooltip_ability_item_oblivions_locket_bonus_all_stats"		"BONUS ALL STATS:"
		"DOTA_Tooltip_ability_item_oblivions_locket_Lore"					"A skeleton's charm. Used to prevent having a bad time."

		"DOTA_Tooltip_Ability_item_ogre_seal_totem"								"Ogre Seal Totem"
		"DOTA_Tooltip_Ability_item_ogre_seal_totem_Description"					"<h1>Active: Ogre Seal Flop</h1>Flop like an ogre seal, doing %damage% damage and stunning for %stun_duration% second on each bounce."
		"DOTA_Tooltip_ability_item_ogre_seal_totem_Lore"						"A totem carved from an ogre seal's tooth."
		"DOTA_Tooltip_Ability_item_ogre_seal_totem_bonus_strength"				"BONUS STRENGTH:"
		"DOTA_Tooltip_Ability_item_ogre_seal_totem_bonus_hp"					"BONUS HP:"

		"DOTA_Tooltip_ability_item_paw_of_lucius"							"Paw of Lucius"
		"DOTA_Tooltip_ability_item_paw_of_lucius_Description"				"<h1>Passive: Sharp Claws</h1>Attacks have a %rupture_chance%%% chance to inflict Rupture.\n"
		"DOTA_Tooltip_ability_item_paw_of_lucius_Lore"						"This claw cuts deep."
		"DOTA_Tooltip_ability_item_paw_of_lucius_bonus_strength"			"BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_paw_of_lucius_bonus_attack_speed"		"BONUS ATTACK SPEED:"

		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf"					"Pelt of the Old Wolf"
		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Description"		""
		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_Lore"				"The wild can be a treachorous place; don't let your guard down."
		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_armor"		"BONUS ARMOR:"
		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_move_speed"	"BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_item_pelt_of_the_old_wolf_bonus_evasion"		"%BONUS EVASION:"

		"DOTA_Tooltip_ability_item_precious_egg"							"Precious Egg"
		"DOTA_Tooltip_ability_item_precious_egg_Description"				"<h1>Passive: Last Chance</h1>If an attack would deal lethal damage, it has a %chance_to_resist_death%%% chance to leave the wearer at 1 health.\n"
		"DOTA_Tooltip_ability_item_precious_egg_Lore"						"Ancient eldwurms, in their search to acquire knowledge, have learned techniques for staving off the loss of life's breath."
		"DOTA_Tooltip_ability_item_precious_egg_bonus_all_stats"			"BONUS ALL STATS:"

		"DOTA_Tooltip_ability_item_preserved_skull"								"Preserved Skull"
		"DOTA_Tooltip_ability_item_preserved_skull_Description"					"<h1>Passive: Conjuration Aura</h1>Allies gain bonus mana regen and cooldown reduction."
		"DOTA_Tooltip_ability_item_preserved_skull_Lore"						"Where be your gibes now?"
		"DOTA_Tooltip_ability_item_preserved_skull_bonus_intelligence"			"BONUS INTELLIGENCE:"
		"DOTA_Tooltip_ability_item_preserved_skull_cooldown_reduction_pct"		"%AURA COOLDOWN REDUCTION:"
		"DOTA_Tooltip_ability_item_preserved_skull_aura_mana_regen"				"AURA MANA REGEN:"

		"DOTA_Tooltip_modifier_item_preserved_skull_effect"						"Conjuration Aura"
		"DOTA_Tooltip_modifier_item_preserved_skull_effect_Description"			"Gaining bonus mana regen and cooldown reduction."

		"DOTA_Tooltip_ability_item_rhyziks_eye"							"Rhyzik's Eye"
		"DOTA_Tooltip_ability_item_rhyziks_eye_Description"				""
		"DOTA_Tooltip_ability_item_rhyziks_eye_Lore"					"There is power in the eye of the Corruptor."
		"DOTA_Tooltip_ability_item_rhyziks_eye_bonus_all_stats"			"BONUS ALL STATS:"
		"DOTA_Tooltip_ability_item_rhyziks_eye_bonus_damage_pct"		"%BONUS DAMAGE:"
		"DOTA_Tooltip_ability_item_rhyziks_eye_damage_reduction"		"%INCOMING DAMAGE REDUCTION:"
		"DOTA_Tooltip_ability_item_rhyziks_eye_mana_regen_sec"			"BONUS MANA REGEN:"
		"DOTA_Tooltip_ability_item_rhyziks_eye_hp_regen_sec"			"BONUS HP REGEN:"

		"DOTA_Tooltip_ability_item_sign_of_the_arachnid"						"Sign of the Arachnid"
		"DOTA_Tooltip_ability_item_sign_of_the_arachnid_Description"			"<h1>Passive: Arachnid Aura</h1>Allies gain bonus movement and attack speed."
		"DOTA_Tooltip_ability_item_sign_of_the_arachnid_Lore"					"An ominous mark bestowed upon followers of the Silken Path."
		"DOTA_Tooltip_ability_item_sign_of_the_arachnid_bonus_agility"			"BONUS AGILITY:"
		"DOTA_Tooltip_ability_item_sign_of_the_arachnid_bonus_move_speed_pct"	"%AURA BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_item_sign_of_the_arachnid_attack_speed"			"AURA BONUS ATTACK SPEED:"

		"DOTA_Tooltip_modifier_item_sign_of_the_arachnid_effect"				"Arachnid Aura"
		"DOTA_Tooltip_modifier_item_sign_of_the_arachnid_effect_Description"	"Gaining bonus movement and attack speed."

		"DOTA_Tooltip_Ability_item_slippers_of_the_abyss"						"Slippers of the Abyss"
		"DOTA_Tooltip_Ability_item_slippers_of_the_abyss_Lore"					"In the voluminous depths, those who cannot move swiftly will be the first to die."
		"DOTA_Tooltip_Ability_item_slippers_of_the_abyss_Description"			"<h1>Active: Aqueous Rush</h1> Increase movement speed by %sprint_bonus_ms% for %sprint_duration% seconds."
		"DOTA_Tooltip_Ability_item_slippers_of_the_abyss_bonus_movement_speed"	"BONUS MOVEMENT SPEED:"
		"DOTA_Tooltip_Ability_item_slippers_of_the_abyss_bonus_atk_speed"		"BONUS ATTACK SPEED:"
		"DOTA_Tooltip_Ability_item_slippers_of_the_abyss_bonus_strength"		"+$str"
		"DOTA_Tooltip_Ability_item_slippers_of_the_abyss_bonus_agility"			"+$agi"

		"DOTA_Tooltip_modifier_item_slippers_of_the_abyss_sprint"						"Aqueous Rush"
		"DOTA_Tooltip_modifier_item_slippers_of_the_abyss_sprint_Description"			"This unit has greatly increased movement speed."
		//"DOTA_Tooltip_modifier_item_slippers_of_the_abyss_sprint_sprint_bonus_ms"		"%BONUS MOVEMENT SPEED:"
		//"DOTA_Tooltip_modifier_item_slippers_of_the_abyss_sprint_sprint_bonus_dmg"	"%BONUS MOVEMENT SPEED:"

		"DOTA_Tooltip_ability_item_stonework_pendant"							"Stonework Pendant"
		"DOTA_Tooltip_ability_item_stonework_pendant_Description"				"<h1>Passive: Blood From a Stone</h1>Spells now cost hit points equal to %hp_cost_multiplier% times their mana cost, and the wearer gains bonus hit points and health regen equal to the size of their mana pool and mana regen.\n"
		"DOTA_Tooltip_ability_item_stonework_pendant_Lore"						"You CAN get blood from a stone."
		"DOTA_Tooltip_ability_item_stonework_pendant_spell_lifesteal"			"%SPELL LIFESTEAL:"

		"DOTA_Tooltip_ability_item_stony_coat"							"Stony Coat"
		"DOTA_Tooltip_ability_item_stony_coat_Description"				"<h1>Passive: Barrage</h1>When the wearer takes damage, there is a %boulder_chance%%% to retaliate with a thrown boulder, which deals %boulder_damage% and stuns for %boulder_stun_duration% seconds.\n"
		"DOTA_Tooltip_ability_item_stony_coat_Lore"						"Just a stone's throw away."
		"DOTA_Tooltip_ability_item_stony_coat_bonus_strength"			"BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_stony_coat_bonus_armor"				"BONUS ARMOR:"

		"DOTA_Tooltip_ability_item_the_caustic_finale"						"The Caustic Finale"
		"DOTA_Tooltip_ability_item_the_caustic_finale_Description"			"<h1>Passive: Caustic Finale</h1>Attacks reduce a percentage of the target's armor.  This effect stacks up to %max_stack_count% times.  If the target dies under this effect, it explodes, dealing damage in an area of effect.\n"
		"DOTA_Tooltip_ability_item_the_caustic_finale_Lore"					"The caustic gift is always paid forward."
		"DOTA_Tooltip_ability_item_the_caustic_finale_bonus_damage"							"BONUS DAMAGE:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_bonus_attack_speed"					"BONUS ATTACK SPEED:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_caustic_armor_reduction_pct"			"%ARMOR REDUCTION PER STACK:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_caustic_radius"						"CAUSTIC RADIUS:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_caustic_damage"						"CAUSTIC DAMAGE:"
		"DOTA_Tooltip_ability_item_the_caustic_finale_max_stack_count"						"MAX STACK COUNT:"

		"DOTA_Tooltip_ability_item_treads_of_ermacor"							"Treads of Ermacor"
		"DOTA_Tooltip_ability_item_treads_of_ermacor_Description"				"Flat movement speed bonuses from multiple pairs of boots do not stack."
		"DOTA_Tooltip_ability_item_treads_of_ermacor_Lore"						"With the Pathfinder's blessing, we shall find a way."
		"DOTA_Tooltip_ability_item_treads_of_ermacor_bonus_movement_speed"		"BONUS MOVEMENT SPEED:"
		"DOTA_Tooltip_ability_item_treads_of_ermacor_bonus_attack_speed"		"BONUS ATTACK SPEED:"
		"DOTA_Tooltip_ability_item_treads_of_ermacor_bonus_all_stats"			"BONUS ALL STATS:"

		"DOTA_Tooltip_ability_item_unhallowed_icon"								"Unhallowed Icon"
		"DOTA_Tooltip_ability_item_unhallowed_icon_Description"					"<h1>Passive: Bloodbond Aura</h1>Allies gain bonus health regeneration. When any unit affected by Unhallowed Icon attacks, %lifesteal_pct%%% of the damage dealt is stolen as life and distributed among all affected by the aura."
		"DOTA_Tooltip_ability_item_unhallowed_icon_Lore"						"An Icon borne by the protected of the underworld."
		"DOTA_Tooltip_ability_item_unhallowed_icon_bonus_strength"				"BONUS STRENGTH:"
		"DOTA_Tooltip_ability_item_unhallowed_icon_lifesteal_pct"				"%AURA LINKED LIFESTEAL:"
		"DOTA_Tooltip_ability_item_unhallowed_icon_hp_regen"					"AURA HP REGEN:"

		"DOTA_Tooltip_modifier_item_unhallowed_icon_effect"						"Bloodbond Aura"
		"DOTA_Tooltip_modifier_item_unhallowed_icon_effect_Description"			"Gaining bonus HP regen. Physical attacks steal life and distribute it among others affected by Bloodbond Aura."

		"DOTA_Tooltip_Ability_item_wand_of_the_brine"						"Wand of the Brine"
		"DOTA_Tooltip_Ability_item_wand_of_the_brine_Lore"					"Were it not for this revered wand, there would have been no Conclave survivors at the Battle of Stonefish Gate."
		"DOTA_Tooltip_Ability_item_wand_of_the_brine_Description"			"<h1>Active: Brinefoam</h1> Puts a friendly unit in a protective healing bubble for %bubble_duration% seconds, healing it for %bubble_heal_per_tick% every %heal_tick_interval% second."
		"DOTA_Tooltip_Ability_item_wand_of_the_brine_bonus_intelligence"	"+$int"
		"DOTA_Tooltip_Ability_item_wand_of_the_brine_bonus_mana_regen_pct"	"%+$mana_regen"

		"DOTA_Tooltip_modifier_item_wand_of_the_brine_bubble"				"Brinefoam" 
		"DOTA_Tooltip_modifier_item_wand_of_the_brine_bubble_Description"	"This unit is protected by Brinefoam.  Healing 300 hp/sec."

		"DOTA_Tooltip_ability_item_watchers_gaze"							"Watcher's Gaze"
		"DOTA_Tooltip_ability_item_watchers_gaze_Description"				"<h1>Active: Stone Gaze</h1>Enemies within your frontal cone are turned to stone and take additional physical damage.\n"
		"DOTA_Tooltip_ability_item_watchers_gaze_Lore"						"Look upon thine enemies and see them petrify before you."
		"DOTA_Tooltip_ability_item_watchers_gaze_bonus_stats"				"BONUS ALL STATS:"

		"DOTA_Tooltip_ability_item_winter_embrace"							"Winter's Embrace"
		"DOTA_Tooltip_ability_item_winter_embrace_Description"				"<h1>Passive: Icy Shell</h1>Physical attackers have their attack speed and movement speed slowed for %slow_duration% seconds.\n"
		"DOTA_Tooltip_ability_item_winter_embrace_Lore"						"Who's the number one now?"
		"DOTA_Tooltip_ability_item_winter_embrace_bonus_intelligence"		"BONUS INTELLIGENCE:"
		"DOTA_Tooltip_ability_item_winter_embrace_bonus_armor"				"BONUS ARMOR:"
		
		"inventory_full_custom_message"				"You cannot get item. Inventory is full"
		"neutral_item_keep"							"Keep"
		"neutral_item_drop"							"Drop on base"
		"neutral_item_take"							"Take"
		"player_still_have_a_lot_of_neutral_items"	"You still have 2 neutral items"
		"unit_still_have_a_lot_of_neutral_items"	"Unit still have 2 neutral items"
		
		"DOTA_Tooltip_modifier_sand_king_boss_caustic_finale"				"Caustic Finale"
		"DOTA_Tooltip_modifier_sand_king_boss_caustic_finale_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
		
		"show_chat"	"Show Chat"
	}
}
